Cust_id, branded_link, branded_pref, api
571632413,100.0,0.0,0.0
567719253,N/A,N/A,N/A
543784612,100.0,0.0,0.0
599432286,0.0,100.0,0.0
532674175,0.0,0.0,100.0
477938447,0.0,0.0,100.0
614723730,100.0,0.0,0.0
541810643,0.0,100.0,0.0
512592141,N/A,N/A,N/A
581604292,N/A,N/A,N/A
488831139,0.0,100.0,0.0
80064348,N/A,N/A,N/A
502381320,0.0,0.0,100.0
535807290,0.0,0.0,100.0
1837748,3.0,0.0,97.0
320739136,4.0,0.0,96.0
568638885,N/A,N/A,N/A
405795337,0.0,0.0,100.0
359121884,0.0,0.0,100.0
268710977,0.0,0.0,100.0
268710977,0.0,0.0,100.0
298366286,76.47,11.76,11.76
572119638,0.0,0.0,100.0
47459726,0.0,0.0,100.0
538670578,100.0,0.0,0.0
200143873,N/A,N/A,N/A
349538561,0.0,100.0,0.0
530629541,0.0,0.0,100.0
451020510,2.04,97.96,0.0
89761533,N/A,N/A,N/A
543485680,N/A,N/A,N/A
529407897,100.0,0.0,0.0
627881394,6.15,0.0,93.85
528376629,0.0,0.0,100.0
201477497,0.0,0.0,100.0
511710492,100.0,0.0,0.0
391515026,0.0,41.0,59.0
488359104,0.0,0.0,100.0
518325270,0.0,100.0,0.0
473899794,64.58,0.0,35.42
582528349,100.0,0.0,0.0
481207791,0.0,0.0,100.0
522111451,0.0,0.0,100.0
567734248,0.0,3.0,97.0
213857576,0.0,0.0,100.0
488660768,0.0,0.0,100.0
539482842,1.0,0.0,99.0
413592371,N/A,N/A,N/A
568901361,0.0,0.0,100.0
173562902,5.26,5.26,89.47
161362563,N/A,N/A,N/A
616817890,N/A,N/A,N/A
435908174,0.0,0.0,100.0
436487868,0.0,0.0,100.0
594559868,0.0,0.0,100.0
527985861,7.0,0.0,93.0
547760889,0.0,99.0,1.0
419135295,0.0,0.0,100.0
202998769,100.0,0.0,0.0
150399065,0.0,11.0,89.0
466531062,0.0,0.0,100.0
523376672,0.0,0.0,100.0
265938314,100.0,0.0,0.0
488352506,0.0,0.0,100.0
272811855,0.0,0.0,100.0
564672040,N/A,N/A,N/A
78354032,87.5,0.0,12.5
538702898,2.0,0.0,98.0
539461483,100.0,0.0,0.0
603306820,0.0,0.0,100.0
547649736,28.57,71.43,0.0
553749534,0.0,0.0,100.0
571741242,0.0,28.57,71.43
240406013,N/A,N/A,N/A
567130649,N/A,N/A,N/A
577586841,2.0,0.0,98.0
586594493,0.0,0.0,100.0
468381692,12.5,87.5,0.0
383908345,100.0,0.0,0.0
489150060,0.0,100.0,0.0
482572725,0.0,100.0,0.0
195517989,0.0,0.0,100.0
195244848,87.1,0.0,12.9
584977653,0.0,0.0,100.0
609966948,100.0,0.0,0.0
262217676,0.0,0.0,100.0
541680433,0.0,100.0,0.0
476550131,100.0,0.0,0.0
527004101,0.0,0.0,100.0
539745860,100.0,0.0,0.0
448845187,0.0,0.0,100.0
346116162,0.0,0.0,100.0
525770163,0.0,0.0,100.0
523090052,22.22,0.0,77.78
575140349,0.0,100.0,0.0
539447488,85.11,0.0,14.89
16655367,1.22,98.78,0.0
587710548,0.0,0.0,100.0
584808537,2.0,0.0,98.0
600141970,0.0,0.0,100.0
152845960,N/A,N/A,N/A
34266298,75.0,0.0,25.0
528754189,0.0,0.0,100.0
547879671,0.0,0.0,100.0
274293891,0.0,9.0,91.0
519774884,0.0,0.0,100.0
40452439,3.0,0.0,97.0
81003925,100.0,0.0,0.0
106186702,0.0,4.0,96.0
585881136,100.0,0.0,0.0
361796630,100.0,0.0,0.0
189462706,0.0,0.0,100.0
518092731,0.0,0.0,100.0
575524781,0.0,0.0,100.0
589212057,0.0,0.0,100.0
610104441,2.0,98.0,0.0
416193997,0.0,0.0,100.0
592155620,100.0,0.0,0.0
511675144,37.5,0.0,62.5
535584704,0.0,0.0,100.0
245644766,0.0,0.0,100.0
581492712,1.0,0.0,99.0
351119440,0.0,0.0,100.0
512206902,N/A,N/A,N/A
7977419,96.67,0.0,3.33
582072584,0.0,100.0,0.0
125088675,100.0,0.0,0.0
181247065,0.0,0.0,100.0
548110243,100.0,0.0,0.0
541177920,0.0,7.0,93.0
